左槽,防具三件套效果,五件套效果,首饰三件套效果,上衣,下装,护肩,腰带,鞋子,手镯,项链,戒指,武器,武器类型,最终力智,最终力智系数,最终双攻系数,最终面板,最终白字,最终黄字,最终属强,最终技工,装备技工,最终暴击率,最终爆伤,最终暴击期望,最终强度,damage
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,刺杀三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,3986.01,1.11,1.85,103819.5219,1.665,1.7,275,1.86426,1.62426,0.693333333,1.8,1.554666667,1916321.933,6288179697
手套,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3950.1,1.1,1.22,67884.36826,2.439545455,1.69,293,1.6386,1.3986,0.664644195,2.19,1.790926592,1915185.388,6284450262
圣灵之咒,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3950.1,1.1,1.25,69553.656,2.509818182,1.63,229,2.059752,1.819752,0.750786517,1.8,1.600629213,1914604.878,6282545389
时间怀表,鬼面君主套二件套效果,鬼面君主套五件套效果,刺杀三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3698.73,1.03,1.67,87362.33432,1.849818182,1.89,229,1.95534,1.71534,0.713333333,1.8,1.570666667,1914454.503,6282051950
尼威尔徽章,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3591,1,1.2,61062.6816,1.7575,1.99,319,1.6597,1.4097,0.654644195,1.853,1.558411498,1353325.001,6280852439
时间怀表,鬼面君主套二件套效果,鬼面君主套五件套效果,刺杀三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3698.73,1.03,1.67,87362.33432,1.896318182,1.89,217,1.95534,1.71534,0.693333333,1.8,1.554666667,1890669.294,6279177040
时间怀表,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,3806.46,1.06,2.07,111241.7629,1.59,2.09,231,1.69998825,1.45998825,0.693333333,1.7,1.485333333,1913528.704,6279014054
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,属强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3878.28,1.08,1.45,79302.60749,2.903181818,1.4,335,1.605855,1.365855,0.664644195,1.7,1.465250936,1913279.316,6278195716
名将兵书,变色龙套二件套效果,变色龙套五件套效果,时空三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,4883.76,1.36,1.15,78213.86035,2.268181818,1.77,255,1.576965,1.336965,0.855692884,1.739,1.632357041,1745191.114,6277458981
时间怀表,坚强套二件套效果,坚强套五件套效果,刺杀三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,4057.83,1.13,1.62,92453.61358,1.74,1.84,240,1.9032,1.6632,0.693333333,1.9,1.624,1912918.937,6277013176
时间怀表,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3950.1,1.1,1.22,67884.36826,2.080227273,2.13,279,1.6386,1.3986,0.644644195,1.94,1.605965543,1795342.073,6276310498
羽毛,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,5027.4,1.4,1.25,87393.744,1.82,1.81,205,2.059752,1.819752,0.825692884,1.8,1.660554307,1902236.777,6275856532
时间怀表,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3591,1,1.67,84978.89856,2.202045455,1.92,255,1.682445,1.442445,0.664644195,1.7,1.465250936,1912328.15,6275074581
手套,坚强套二件套效果,坚强套五件套效果,刺杀三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,4057.83,1.13,1.22,69625.56084,1.74,2.07,240,1.9032,1.6632,0.693333333,2.15,1.797333333,1793645.073,6270377983
尼威尔徽章,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,5242.86,1.46,1.22,88778.67932,1.97,1.75,266,1.66561,1.41561,0.7982397,1.813,1.648968876,1857001.787,6268760783
尼威尔徽章,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3842.37,1.07,1.25,67769.6472,2.728727273,1.62,256,1.780246,1.530246,0.692097378,1.853,1.590359064,1835142.739,6267935898
圣灵之咒,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3950.1,1.1,1.22,67884.36826,2.915545455,1.56,291,1.6386,1.3986,0.644644195,1.94,1.605965543,1887215.907,6267707861
名将兵书,变色龙套二件套效果,变色龙套五件套效果,时空三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,4883.76,1.36,1.15,78213.86035,2.318227273,1.77,243,1.576965,1.336965,0.835692884,1.739,1.617577041,1722893.123,6267607022
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,刺杀三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3698.73,1.03,1.2,62775.33005,1.740454545,1.65,294,1.9164,1.6764,0.743333333,1.839,1.623656667,1310558.571,6266905034
圣灵之咒,变色龙套二件套效果,变色龙套五件套效果,属强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,4668.3,1.3,1.15,74931.28416,2.222909091,2.15,241,1.5609,1.3209,0.757003745,1.7,1.529902622,1792010.093,6264662280
时间怀表,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3591,1,1.2,61062.6816,2.611818182,1.47,340,1.6497,1.4097,0.664644195,1.7,1.465250936,1442508.817,6264579137
手套,失明套二件套效果,失明套五件套效果,属强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3842.37,1.07,1.25,67769.6472,2.662045455,1.66,255,1.770246,1.530246,0.702097378,1.95,1.666992509,1908081.753,6261140541
羽毛,深海熔岩套二件套效果,深海熔岩套五件套效果,火强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3878.28,1.08,1.85,101179.1889,1.846818182,1.69,314,1.605855,1.365855,0.644644195,1.84,1.541501124,1897451.962,6260070477
羽毛,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,3806.46,1.06,1.67,89745.77007,2.158227273,1.82,243,1.69998825,1.45998825,0.693333333,1.7,1.485333333,1873314.566,6258945907
圣灵之咒,MP套二件套效果,MP套五件套效果,属强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3950.1,1.1,1.15,63989.36352,2.607272727,1.75,315,1.7163,1.4763,0.664644195,1.85,1.564947566,1907025.04,6257673062
手套,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3950.1,1.1,1.25,69553.656,2.119318182,1.76,219,2.059752,1.819752,0.750786517,2.05,1.788325843,1906918.886,6257324732
手套,变色龙套二件套效果,变色龙套五件套效果,属强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,4668.3,1.3,1.15,74931.28416,2.578181818,1.65,265,1.5609,1.3209,0.777003745,1.95,1.738153558,1906526.917,6256038534
尼威尔徽章,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,铁甲炮,手炮,3806.46,1.06,1.67,89745.77007,1.59,2.32,231,1.70998825,1.45998825,0.703333333,1.713,1.501476667,1742467.443,6255891997
手套,变色龙套二件套效果,变色龙套五件套效果,火强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,4668.3,1.3,1.15,74931.28416,2.171818182,1.87,258,1.5609,1.3209,0.777003745,2.09,1.846934082,1906162.576,6254842991
时间怀表,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.2,61062.6816,2.144090909,1.69,333,1.6497,1.4097,0.664644195,1.84,1.558301124,1429764.736,6254320656
时间怀表,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3842.37,1.07,1.25,67769.6472,2.728727273,1.69,256,1.770246,1.530246,0.682097378,1.84,1.572961798,1882860.435,6253242730
羽毛,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,3806.46,1.06,1.67,89745.77007,2.108181818,1.82,255,1.69998825,1.45998825,0.713333333,1.7,1.499333333,1894996.816,6251970465
尼威尔徽章,变色龙套二件套效果,变色龙套五件套效果,火强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,5745.6,1.6,1.15,91344.16512,1.836363636,1.92,244,1.5709,1.3209,0.861910112,1.853,1.735209326,1851554.229,6250371226
手套,镇魂曲套二件套效果,镇魂曲套五件套效果,时空三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,3806.46,1.06,1.2,64487.9785,1.988181818,1.63,320,1.666845,1.426845,0.713333333,1.95,1.677666667,1434479.8,6249313915
尼威尔徽章,变色龙套二件套效果,变色龙套五件套效果,时空三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,4883.76,1.36,1.55,105418.6813,1.75,1.95,231,1.586965,1.336965,0.815692884,1.713,1.581589026,1850994.346,6248481206
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,属强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3878.28,1.08,1.45,79302.60749,2.945590909,1.4,323,1.605855,1.365855,0.644644195,1.7,1.451250936,1881108.837,6247425428
羽毛,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.2,61062.6816,2.388045455,1.49,343,1.6497,1.4097,0.664644195,1.84,1.558301124,1429377.042,6246476869
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3591,1,1.45,73784.0736,2.503931818,1.78,291,1.657248,1.417248,0.719550562,1.7,1.503685393,1903477.878,6246033479
手套,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,3806.46,1.06,1.45,77922.97402,1.968522727,1.88,281,1.6744848,1.4344848,0.7682397,1.95,1.729827715,1902229.479,6241937008
手套,MP套二件套效果,MP套五件套效果,时空三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,4165.56,1.16,1.55,90670.87526,1.47,2.05,281,1.734255,1.494255,0.693333333,2.1,1.762666667,1902116.864,6241567474
圣灵之咒,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3950.1,1.1,1.25,69553.656,2.556318182,1.63,217,2.059752,1.819752,0.730786517,1.8,1.584629213,1878987.21,6240379207
羽毛,变色龙套二件套效果,变色龙套五件套效果,属强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,4668.3,1.3,1.55,100994.3395,2.022909091,1.85,241,1.5609,1.3209,0.757003745,1.7,1.529902622,1891307.923,6239800074
时间怀表,MP套二件套效果,MP套五件套效果,火强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3950.1,1.1,1.55,86246.53344,1.590454545,2.11,294,1.7163,1.4763,0.644644195,1.99,1.638197753,1901276.725,6238810659
尼威尔徽章,坚强套二件套效果,坚强套五件套效果,属强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3950.1,1.1,1.22,67884.36826,2.281090909,1.97,276,1.6486,1.3986,0.654644195,1.813,1.53222573,1737303.293,6237351411
尼威尔徽章,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3591,1,1.2,61062.6816,2.660363636,1.4,328,1.6597,1.4097,0.654644195,1.713,1.466761311,1379087.522,6236268540
手套,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,4165.56,1.16,1.22,71366.75343,2.526363636,1.57,290,1.65561,1.41561,0.713333333,2.05,1.749,1900145.25,6235097859
时间怀表,镇魂曲套二件套效果,镇魂曲套五件套效果,时空三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.2,81614.46298,1.62,1.75,306,1.666845,1.426845,0.7882397,1.7,1.55176779,1430886.557,6234964518
时间怀表,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,铁甲炮,手炮,4057.83,1.13,1.25,71337.6648,2.05,2.2,231,1.7888571,1.5488571,0.730786517,1.7,1.511550562,1783395.309,6234545978
名将兵书,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.27,64624.67136,2.639636364,1.51,356,1.595088,1.355088,0.674644195,1.879,1.593012247,1713653.304,6233994049
名将兵书,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,4165.56,1.16,1.22,71366.75343,2.310909091,1.72,280,1.65561,1.41561,0.743333333,1.839,1.623656667,1733032.922,6233725920
羽毛,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.67,84978.89856,2.011818182,1.94,258,1.682445,1.442445,0.664644195,1.84,1.558301124,1889291.766,6233148372
圣灵之咒,镇魂曲套二件套效果,镇魂曲套五件套效果,刺杀三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3698.73,1.03,1.2,62775.33005,1.59,2,280,1.9164,1.6764,0.693333333,1.8,1.554666667,1351720.491,6232048621
圣灵之咒,MP套二件套效果,MP套五件套效果,属强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3950.1,1.1,1.15,63989.36352,2.652409091,1.75,303,1.7163,1.4763,0.644644195,1.85,1.547947566,1875922.113,6230199592
圣灵之咒,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.27,82750.20077,2.352,1.58,341,1.595088,1.355088,0.739550562,1.7,1.517685393,1898322.709,6229117411
时间怀表,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,5242.86,1.46,1.22,88778.67932,1.97,1.82,266,1.65561,1.41561,0.7882397,1.8,1.63059176,1898292.654,6229018789
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,时空三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,4093.74,1.14,1.45,83441.5079,2.566409091,1.5,313,1.62246675,1.38246675,0.693333333,1.7,1.485333333,1875441.616,6228603795
名将兵书,MP套二件套效果,MP套五件套效果,火强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3950.1,1.1,1.15,63989.36352,1.590454545,2.36,294,1.7163,1.4763,0.674644195,2.029,1.694208876,1631705.016,6228009839
羽毛,坚强套二件套效果,坚强套五件套效果,属强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,5027.4,1.4,1.22,85296.29414,2.281090909,1.65,276,1.6386,1.3986,0.739550562,1.8,1.591640449,1887702.776,6227905980
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.05,68415.52032,2.299318182,1.85,294,1.657248,1.417248,0.814456929,1.84,1.68414382,1897721.832,6227145707
名将兵书,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.27,64624.67136,2.582363636,1.51,368,1.595088,1.355088,0.694644195,1.879,1.610592247,1730284.788,6223840872
圣灵之咒,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,4057.83,1.13,1.25,71337.6648,2.768181818,1.63,255,1.7888571,1.5488571,0.750786517,1.7,1.525550562,1896593.636,6223443668
名将兵书,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,4776.03,1.33,1.15,76572.57226,2.009818182,1.77,229,1.8108,1.5708,0.855692884,1.839,1.71792633,1729425.887,6220751399
手套,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,4165.56,1.16,1.22,71366.75343,2.581181818,1.57,278,1.65561,1.41561,0.693333333,2.05,1.728,1872934.68,6220277908
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,时空三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,4093.74,1.14,1.45,83441.5079,2.512272727,1.5,325,1.62246675,1.38246675,0.713333333,1.7,1.499333333,1894907.479,6217910744
尼威尔徽章,MP套二件套效果,MP套五件套效果,属强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,5027.4,1.4,1.15,80402.24448,1.797454545,1.93,291,1.7263,1.4763,0.749550562,1.863,1.646862135,1841853.706,6217624755
名将兵书,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,4057.83,1.13,1.15,65630.65162,1.837681818,1.87,267,1.9956,1.7556,0.723333333,1.989,1.715376667,1709062.382,6217293019
名将兵书,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3591,1,1.27,64624.67136,1.924545455,2.01,344,1.595088,1.355088,0.674644195,1.879,1.593012247,1628481.254,6215705151
手套,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.05,68415.52032,2.303931818,1.76,291,1.657248,1.417248,0.814456929,1.95,1.773734082,1894136.001,6215379234
尼威尔徽章,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.2,61062.6816,2.144090909,1.62,333,1.6597,1.4097,0.674644195,1.853,1.575471498,1394044.63,6214062623
名将兵书,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3591,1,1.27,64624.67136,2.152,1.92,341,1.595088,1.355088,0.674644195,1.739,1.49856206,1627576.477,6212251736
尼威尔徽章,镇魂曲套二件套效果,镇魂曲套五件套效果,时空三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.2,81614.46298,1.62,1.68,306,1.676845,1.426845,0.7982397,1.713,1.569144906,1397366.922,6211040602
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,刺杀三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3986.01,1.11,1.45,81372.0577,2.292681818,1.5,287,1.86426,1.62426,0.693333333,1.8,1.554666667,1869129.497,6207640363
圣灵之咒,MP套二件套效果,MP套五件套效果,属强三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3950.1,1.1,1.15,63989.36352,1.997454545,2.25,291,1.7163,1.4763,0.644644195,1.85,1.547947566,1774658.857,6204004345
名将兵书,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,4776.03,1.33,1.15,76572.57226,2.056318182,1.77,217,1.8108,1.5708,0.835692884,1.839,1.70114633,1705327.253,6203705222
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,刺杀三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3986.01,1.11,1.45,81372.0577,2.242090909,1.5,299,1.86426,1.62426,0.713333333,1.8,1.570666667,1890405.45,6203137878
尼威尔徽章,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3950.1,1.1,1.25,69553.656,1.82,2.13,205,2.069752,1.819752,0.740786517,1.813,1.602259438,1727381.854,6201730975
名将兵书,变色龙套二件套效果,变色龙套五件套效果,时空三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,时空手镯,时空项链,时空戒指,铁甲炮,手炮,4883.76,1.36,1.15,78213.86035,1.75,2.27,231,1.576965,1.336965,0.835692884,1.739,1.617577041,1624757.376,6201491585
